Hours_Studied,Attendance,Sleep_Hours,Motivation_Level,Parental_Involvement,Access_to_Resources,Tutoring_Sessions,Internet_Access,Extracurricular_Activities,Peer_Influence,Learning_Disabilities,Physical_Activity,Gender
16,82,8,High,Medium,Medium,2,Yes,Yes,Positive,Yes,5,Male
18,69,9,Medium,Medium,High,3,Yes,Yes,Negative,No,2,Female
15,78,7,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,2,Male
30,79,6,Medium,High,Medium,1,Yes,No,Negative,No,4,Female
15,93,7,Medium,Medium,Medium,3,Yes,Yes,Negative,No,5,Female
17,96,8,Medium,Medium,Medium,1,Yes,No,Neutral,No,3,Female
21,77,5,Low,Medium,Low,1,Yes,Yes,Negative,No,3,Male
13,61,7,Low,Low,Low,2,Yes,No,Positive,No,2,Female
18,94,7,Medium,Medium,Medium,1,Yes,Yes,Positive,No,2,Female
22,67,7,High,Medium,Medium,2,Yes,Yes,Positive,No,3,Male
18,85,7,Medium,Medium,High,2,Yes,No,Positive,No,4,Male
19,61,6,Low,Medium,Medium,1,Yes,No,Positive,No,1,Male
17,76,8,Low,High,Medium,0,No,No,Neutral,No,4,Male
11,99,7,Medium,High,Medium,0,Yes,Yes,Neutral,No,5,Female
22,64,7,Medium,Medium,Medium,3,Yes,Yes,Neutral,No,4,Female
31,77,5,High,High,Low,1,Yes,Yes,Neutral,No,2,Female
20,72,8,Medium,High,Low,4,Yes,Yes,Positive,No,2,Male
21,96,6,High,High,Medium,3,No,Yes,Negative,No,3,Female
24,95,9,Medium,Medium,Low,3,Yes,Yes,Positive,No,4,Male
12,70,5,High,High,Medium,1,Yes,No,Positive,No,3,Female
30,63,8,Medium,Medium,High,4,Yes,Yes,Positive,No,3,Female
21,85,4,Low,Medium,Medium,2,Yes,No,Neutral,No,3,Female
30,73,4,Medium,High,Low,0,Yes,No,Positive,No,4,Female
16,87,6,Medium,High,High,2,Yes,Yes,Neutral,No,1,Female
31,61,4,Medium,Medium,Medium,0,Yes,No,Positive,No,3,Female
25,65,8,Medium,High,Low,2,Yes,Yes,Negative,No,3,Female
23,87,7,Medium,Medium,Low,2,Yes,No,Neutral,No,2,Male
21,68,9,Low,Medium,Medium,1,Yes,No,Negative,No,4,Female
19,94,7,Medium,Medium,Medium,0,Yes,No,Neutral,No,3,Female
27,62,7,Medium,High,Low,2,Yes,No,Neutral,No,4,Male
21,69,7,Low,High,Medium,0,Yes,Yes,Negative,No,3,Male
8,100,6,Medium,High,High,0,Yes,Yes,Positive,No,2,Female
13,77,6,Low,Low,Medium,1,No,Yes,Neutral,No,4,Male
19,88,5,High,Low,Medium,1,Yes,Yes,Positive,No,5,Male
22,67,8,Medium,Low,Medium,1,Yes,No,Negative,Yes,2,Female
20,84,7,Low,Low,Low,1,Yes,No,Neutral,No,3,Female
27,89,7,Medium,Medium,Medium,0,Yes,Yes,Positive,No,2,Female
8,73,10,Medium,Medium,High,2,Yes,Yes,Positive,No,3,Male
21,93,6,Low,Low,Low,1,Yes,Yes,Negative,No,3,Male
9,84,7,High,High,High,1,Yes,Yes,Positive,No,3,Male
25,76,7,Medium,Medium,Medium,2,Yes,Yes,Positive,No,2,Male
19,82,9,Low,High,Medium,2,Yes,No,Neutral,No,3,Male
23,83,7,Medium,Medium,Low,3,Yes,No,Negative,No,4,Female
15,67,7,Low,Medium,Medium,0,Yes,Yes,Positive,No,2,Male
28,76,10,High,Medium,Medium,1,Yes,Yes,Neutral,No,3,Male
26,74,6,Medium,Medium,Medium,2,Yes,No,Positive,No,4,Male
24,76,7,Medium,Medium,Medium,2,Yes,Yes,Positive,No,4,Male
19,90,8,Medium,Medium,Medium,1,Yes,No,Neutral,No,3,Male
23,79,6,Low,High,High,1,Yes,Yes,Neutral,No,1,Male
16,98,8,Medium,High,Low,3,Yes,Yes,Neutral,No,3,Female
25,72,6,Low,Medium,Medium,3,Yes,No,Neutral,No,5,Male
30,77,9,Medium,Medium,Low,0,Yes,Yes,Neutral,No,1,Male
26,91,8,Low,High,Medium,0,Yes,Yes,Neutral,No,2,Male
16,82,7,Low,High,High,3,Yes,No,Positive,No,3,Male
22,82,5,Medium,Medium,Low,2,Yes,No,Neutral,No,2,Male
12,62,6,High,High,High,0,Yes,Yes,Negative,No,2,Male
23,76,7,Medium,Low,High,2,Yes,Yes,Negative,No,2,Male
23,71,8,Low,Low,Medium,1,Yes,Yes,Neutral,No,2,Female
9,100,7,Medium,Low,Low,1,Yes,No,Positive,No,2,Male
13,72,8,Medium,Low,High,3,Yes,Yes,Positive,No,4,Male
18,95,8,Medium,Medium,High,3,Yes,No,Negative,No,6,Male
18,87,8,Medium,Low,Low,3,No,No,Positive,No,4,Male
13,74,7,Medium,High,High,2,Yes,Yes,Positive,No,3,Male
22,82,7,Medium,Medium,High,0,Yes,Yes,Negative,No,4,Male
22,94,7,Low,Medium,Medium,0,Yes,Yes,Neutral,No,3,Male
19,95,6,High,Low,High,1,Yes,Yes,Neutral,No,4,Male
15,66,9,Medium,Medium,Medium,3,Yes,No,Neutral,No,3,Male
26,74,8,Medium,Low,Medium,0,Yes,No,Positive,No,1,Male
30,73,9,Low,High,Medium,0,Yes,Yes,Negative,No,4,Male
17,62,6,Medium,High,Low,2,Yes,No,Negative,No,3,Female
16,84,8,Low,Medium,High,0,Yes,Yes,Negative,No,3,Female
23,94,9,Medium,Low,Low,3,Yes,Yes,Neutral,No,2,Female
18,75,9,Medium,High,Medium,2,Yes,Yes,Positive,Yes,4,Female
19,90,5,Low,Medium,High,0,Yes,Yes,Neutral,No,2,Female
24,85,7,High,Medium,Medium,2,Yes,Yes,Neutral,No,2,Female
9,75,7,Low,Medium,Medium,2,Yes,No,Positive,No,4,Female
28,66,9,Medium,High,Medium,2,Yes,Yes,Positive,No,2,Male
20,88,4,Low,Medium,Medium,0,Yes,No,Negative,No,4,Male
18,94,5,Medium,High,High,0,Yes,Yes,Negative,No,5,Female
19,87,9,Low,Low,Medium,3,Yes,No,Positive,No,4,Female
20,61,6,Medium,Low,Medium,2,Yes,No,Negative,No,2,Male
10,69,5,Low,Medium,Medium,0,Yes,Yes,Positive,No,3,Female
29,63,9,High,Low,Low,3,No,Yes,Negative,No,3,Male
20,83,5,Medium,Medium,Low,1,Yes,Yes,Neutral,No,2,Male
23,90,9,Low,Low,Low,4,Yes,No,Neutral,No,3,Male
26,64,5,Medium,Medium,Medium,2,Yes,No,Negative,No,1,Male
14,94,5,Medium,Medium,Medium,0,Yes,No,Neutral,No,3,Male
23,82,7,High,High,Low,1,Yes,No,Negative,No,3,Female
18,88,6,Medium,High,Low,1,Yes,Yes,Positive,No,3,Female
25,99,7,Medium,High,Medium,3,Yes,Yes,Positive,No,4,Female
7,63,10,Medium,High,High,0,Yes,Yes,Positive,Yes,2,Male
19,96,7,High,Medium,Medium,3,Yes,Yes,Negative,No,3,Female
16,65,9,Medium,Medium,Low,1,Yes,No,Neutral,No,3,Male
23,76,7,Medium,High,High,0,Yes,No,Negative,No,6,Male
23,94,8,Medium,Medium,High,1,Yes,No,Neutral,No,0,Female
16,96,4,High,Medium,Medium,1,Yes,Yes,Positive,No,2,Male
16,80,8,High,High,Medium,2,Yes,Yes,Positive,No,4,Male
19,84,8,High,Medium,Medium,2,Yes,No,Neutral,Yes,1,Male
15,88,6,Medium,High,High,2,Yes,Yes,Negative,No,4,Female
25,93,10,Low,Medium,Medium,1,Yes,Yes,Positive,No,3,Male
18,65,6,Low,Medium,High,0,Yes,Yes,Neutral,No,3,Female
3,92,5,High,High,Low,3,Yes,Yes,Neutral,No,1,Female
18,79,8,High,Medium,Medium,3,Yes,No,Positive,No,3,Female
14,78,5,Medium,High,High,1,Yes,Yes,Neutral,No,3,Female
10,77,7,Low,High,High,2,Yes,No,Neutral,No,1,Male
13,80,9,Medium,Medium,High,1,Yes,No,Positive,No,3,Male
21,98,8,Medium,Low,High,0,Yes,Yes,Neutral,No,3,Male
28,82,7,Low,Medium,High,1,Yes,No,Neutral,No,3,Male
22,98,6,Medium,Medium,Medium,4,Yes,Yes,Neutral,No,4,Female
16,67,9,Medium,High,Medium,1,Yes,Yes,Positive,No,3,Male
23,89,5,Low,Low,Medium,0,Yes,No,Positive,No,3,Male
17,92,8,High,Low,Medium,1,No,Yes,Neutral,No,3,Female
16,87,10,Low,Low,Medium,2,Yes,Yes,Neutral,No,0,Female
13,84,8,High,Medium,Medium,2,Yes,Yes,Neutral,No,3,Female
9,83,7,Medium,High,Low,0,Yes,Yes,Negative,No,1,Female
18,94,7,Low,Low,Low,3,Yes,Yes,Neutral,No,2,Female
21,93,6,High,Medium,High,1,Yes,Yes,Positive,No,3,Female
19,65,6,Medium,Medium,Low,2,Yes,Yes,Neutral,No,2,Male
18,94,7,High,High,Low,2,Yes,No,Neutral,No,4,Female
14,77,8,Medium,High,Medium,3,Yes,Yes,Neutral,No,2,Male
24,70,9,Medium,High,Medium,3,Yes,Yes,Positive,No,3,Male
12,95,4,High,Low,Medium,2,Yes,Yes,Negative,No,3,Male
25,77,4,Low,Medium,Low,3,Yes,No,Neutral,Yes,4,Female
14,92,9,Low,High,Low,1,Yes,Yes,Neutral,No,4,Female
15,71,7,Low,High,High,2,Yes,No,Neutral,No,4,Male
11,60,7,High,Medium,High,2,Yes,No,Positive,No,1,Male
17,80,8,Medium,High,Low,0,Yes,Yes,Negative,No,4,Female
26,64,7,Low,High,Medium,2,Yes,Yes,Positive,No,4,Female
23,90,10,Low,Medium,Medium,3,Yes,Yes,Positive,No,5,Male
26,71,8,Medium,Low,High,1,No,No,Positive,No,3,Male
23,78,6,High,Medium,Medium,0,Yes,Yes,Neutral,No,3,Female
13,63,6,High,High,Medium,0,Yes,No,Positive,No,4,Male
18,71,7,High,Medium,Medium,0,Yes,No,Positive,No,5,Female
15,91,6,Medium,High,Medium,0,Yes,No,Positive,No,3,Male
28,66,10,Low,Medium,Medium,0,Yes,No,Positive,No,3,Male
13,86,7,Medium,Low,Medium,0,No,No,Positive,No,3,Male
25,97,5,Medium,Low,High,2,Yes,Yes,Positive,No,2,Male
25,87,8,Medium,High,Medium,0,Yes,Yes,Positive,No,4,Male
31,92,9,Medium,Medium,Medium,1,No,Yes,Positive,No,3,Male
18,64,9,Medium,Low,High,2,Yes,Yes,Negative,No,3,Female
24,70,6,Low,High,High,0,No,No,Neutral,No,3,Male
34,96,5,High,Medium,Medium,1,Yes,Yes,Negative,Yes,5,Female
16,89,9,Medium,High,Medium,2,Yes,No,Positive,No,3,Male
11,86,5,Medium,Medium,Medium,1,Yes,No,Neutral,No,4,Female
9,87,8,Low,Low,Low,0,No,No,Neutral,No,1,Male
24,77,6,Medium,Medium,Medium,2,Yes,Yes,Positive,No,4,Male
9,62,9,High,High,High,4,Yes,Yes,Neutral,No,4,Male
18,91,5,Low,Low,Medium,0,Yes,Yes,Positive,No,4,Male
23,87,6,Low,High,Low,5,Yes,No,Neutral,No,2,Female
21,79,8,Low,Medium,Low,1,Yes,Yes,Positive,No,4,Female
23,96,8,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,4,Female
21,73,9,Medium,Medium,Medium,2,Yes,Yes,Neutral,No,3,Male
28,72,8,Low,High,Medium,1,Yes,Yes,Negative,No,2,Female
14,95,8,Medium,Medium,Medium,5,Yes,Yes,Positive,No,4,Female
16,92,9,High,Medium,Low,2,Yes,No,Neutral,No,2,Female
15,81,5,Low,High,Medium,0,No,No,Positive,No,3,Female
25,65,6,Medium,Low,Medium,1,Yes,No,Negative,No,4,Male
25,69,5,Medium,Low,Medium,1,Yes,Yes,Neutral,No,2,Male
23,86,4,Medium,Low,Medium,0,Yes,Yes,Negative,No,3,Male
27,75,8,Medium,Medium,Medium,4,Yes,No,Positive,No,2,Female
13,93,9,Low,Medium,High,0,Yes,No,Neutral,No,3,Male
30,98,8,High,High,High,1,No,Yes,Neutral,No,3,Female
29,92,8,Low,Medium,High,2,Yes,No,Neutral,No,3,Male
24,75,7,Medium,Medium,Low,2,Yes,No,Negative,No,4,Male
31,92,7,Medium,High,Medium,3,Yes,Yes,Positive,No,3,Male
10,74,10,High,Medium,Medium,2,Yes,Yes,Neutral,No,3,Male
17,67,9,Medium,High,High,2,Yes,Yes,Positive,No,3,Female
16,61,6,High,Medium,High,4,Yes,No,Neutral,No,3,Male
24,75,9,High,Low,High,5,Yes,Yes,Negative,No,5,Female
14,96,9,Medium,Medium,Low,0,Yes,No,Neutral,No,3,Male
25,70,8,High,Low,High,1,Yes,No,Negative,No,2,Male
28,68,8,Medium,Low,High,1,Yes,Yes,Neutral,No,3,Female
24,99,8,Low,Medium,Low,1,Yes,Yes,Negative,No,2,Male
22,61,5,Low,Medium,Medium,2,Yes,Yes,Neutral,No,2,Female
14,91,5,High,Low,Medium,0,Yes,No,Neutral,No,3,Female
15,73,8,Medium,Medium,Medium,1,Yes,No,Neutral,No,3,Female
27,61,5,Medium,Medium,Medium,2,Yes,No,Neutral,No,2,Male
25,97,5,High,Medium,High,1,Yes,Yes,Negative,No,5,Male
20,66,4,High,Low,High,2,Yes,Yes,Neutral,No,2,Female
17,82,6,Low,Medium,High,4,Yes,No,Positive,No,3,Female
8,71,8,Medium,High,Medium,3,Yes,Yes,Neutral,Yes,1,Female
14,63,8,High,Medium,Medium,1,Yes,Yes,Neutral,No,3,Male
31,62,8,High,Medium,Medium,4,Yes,Yes,Positive,No,4,Male
12,65,6,Medium,Low,Medium,1,Yes,Yes,Positive,No,3,Female
21,63,7,Low,Medium,Low,1,Yes,Yes,Positive,No,3,Female
26,90,8,Medium,High,High,1,Yes,Yes,Neutral,Yes,4,Male
12,79,8,Medium,Medium,Medium,2,Yes,No,Neutral,No,4,Male
21,74,6,Low,Low,Low,2,Yes,Yes,Positive,No,3,Female
26,77,7,Medium,Low,Low,1,Yes,No,Neutral,No,4,Male
20,97,4,Medium,High,High,1,Yes,Yes,Positive,Yes,2,Male
37,96,7,Medium,High,Medium,0,Yes,Yes,Positive,No,4,Male
10,89,6,Medium,Medium,Medium,4,Yes,Yes,Positive,No,3,Male
26,95,9,Low,Medium,High,3,Yes,No,Neutral,Yes,3,Female
19,73,6,Medium,High,Medium,1,Yes,No,Positive,No,3,Male
25,75,7,Medium,Low,Low,3,Yes,Yes,Negative,No,4,Male
23,85,6,Low,Medium,Medium,1,Yes,Yes,Neutral,No,3,Male
16,85,6,Low,High,Low,3,Yes,Yes,Neutral,No,2,Male
21,79,8,Medium,Medium,Low,1,Yes,No,Neutral,No,2,Female
9,76,6,Low,Low,High,0,No,No,Negative,Yes,4,Male
24,99,10,Low,Medium,Medium,1,Yes,No,Neutral,No,3,Male
22,93,4,High,High,Medium,1,Yes,Yes,Positive,No,2,Male
24,77,8,Low,Medium,Medium,2,Yes,Yes,Positive,No,3,Male
26,89,7,Medium,High,Medium,0,Yes,No,Neutral,Yes,5,Male
22,71,7,Low,Medium,Medium,1,Yes,No,Neutral,No,3,Male
21,64,7,High,High,Low,2,Yes,Yes,Neutral,No,3,Female
15,74,8,Medium,High,Medium,0,Yes,Yes,Negative,No,3,Male
16,76,7,Low,Medium,Medium,0,Yes,No,Neutral,No,2,Female
27,61,9,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,2,Male
29,93,7,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,3,Male
19,74,5,High,Medium,Low,1,No,Yes,Positive,No,3,Male
20,83,7,Medium,Medium,Medium,0,Yes,Yes,Neutral,No,4,Female
15,63,9,Low,High,High,4,No,Yes,Negative,No,3,Male
27,67,6,Medium,Low,Medium,0,Yes,No,Negative,No,2,Male
24,96,5,Medium,Medium,High,1,Yes,Yes,Positive,No,4,Male
32,84,8,Medium,Medium,Medium,2,No,Yes,Positive,No,1,Male
15,98,8,Medium,Medium,High,4,Yes,No,Positive,No,2,Female
18,100,6,Medium,Medium,Medium,2,Yes,No,Neutral,No,2,Male
21,75,7,Low,High,High,1,Yes,No,Positive,No,2,Female
24,72,7,Medium,Medium,Medium,3,Yes,No,Neutral,No,2,Female
19,94,7,Medium,High,High,0,Yes,No,Neutral,Yes,1,Male
15,100,8,High,High,High,2,Yes,No,Negative,No,3,Male
25,85,6,Low,High,Medium,2,Yes,No,Neutral,No,1,Female
24,92,8,High,Medium,High,0,Yes,No,Neutral,No,3,Male
15,91,6,Low,Low,Medium,1,Yes,No,Positive,Yes,3,Male
28,74,9,Low,Medium,Medium,0,Yes,No,Neutral,No,3,Female
27,83,10,Medium,Medium,Medium,0,Yes,No,Neutral,No,4,Female
21,93,6,Medium,High,Low,1,Yes,No,Positive,No,2,Female
20,88,5,Medium,Medium,Medium,1,Yes,No,Neutral,No,4,Female
23,61,8,Medium,Medium,High,1,Yes,Yes,Positive,No,0,Male
15,73,7,Medium,Medium,High,2,Yes,No,Neutral,No,5,Male
20,66,8,Low,Medium,High,4,Yes,Yes,Positive,No,3,Male
7,69,6,Medium,Low,Medium,0,Yes,Yes,Negative,No,4,Female
25,96,7,Medium,Low,Medium,0,Yes,No,Positive,No,2,Female
11,61,6,Medium,High,Low,5,Yes,Yes,Neutral,No,3,Male
29,69,7,Medium,Medium,Medium,1,Yes,Yes,Positive,No,2,Male
18,72,5,Low,Low,Low,1,Yes,Yes,Negative,No,4,Male
19,85,7,High,Medium,Medium,2,Yes,Yes,Negative,Yes,3,Female
16,81,5,High,Medium,High,2,No,Yes,Positive,No,3,Male
18,69,6,Medium,Medium,Medium,2,Yes,Yes,Positive,No,4,Male
29,67,7,Medium,High,Low,3,No,No,Neutral,No,1,Female
5,69,8,Medium,Medium,Medium,2,No,Yes,Negative,No,2,Female
28,80,8,Low,Low,Medium,2,Yes,No,Neutral,No,2,Male
22,71,8,Medium,High,Medium,2,No,No,Negative,No,4,Female
13,98,5,High,High,Medium,1,Yes,Yes,Negative,No,3,Male
14,79,9,Medium,Medium,Medium,1,Yes,No,Neutral,No,4,Male
30,62,6,Medium,Medium,High,2,Yes,Yes,Positive,No,4,Male
14,89,6,High,High,Medium,2,Yes,No,Negative,No,4,Female
13,73,7,High,Medium,High,0,Yes,Yes,Neutral,No,3,Female
27,86,6,Medium,Medium,Medium,2,Yes,No,Neutral,No,3,Male
22,71,8,Low,Medium,Medium,1,Yes,Yes,Neutral,No,4,Female
14,83,8,Low,Medium,High,0,Yes,Yes,Negative,Yes,2,Male
21,91,6,High,Medium,Medium,0,Yes,Yes,Positive,Yes,2,Female
14,97,7,High,Medium,Low,1,Yes,No,Neutral,No,3,Female
27,70,7,Medium,Low,Low,1,No,Yes,Neutral,No,3,Male
26,73,8,Low,High,High,2,Yes,Yes,Positive,No,4,Male
23,79,6,Medium,Low,Medium,3,Yes,Yes,Negative,No,4,Female
22,97,6,Medium,Medium,Medium,2,No,Yes,Neutral,No,2,Male
31,96,5,Low,Medium,Low,3,Yes,No,Neutral,No,2,Female
20,64,6,High,High,Low,0,Yes,Yes,Neutral,No,2,Male
13,65,5,Low,Medium,High,1,Yes,No,Positive,Yes,2,Female
23,80,6,Medium,High,High,0,Yes,Yes,Neutral,No,3,Male
33,64,9,Medium,Low,Medium,0,Yes,Yes,Negative,No,2,Male
14,74,8,High,Medium,Medium,2,Yes,Yes,Neutral,No,2,Male
18,66,9,Medium,High,High,2,Yes,No,Neutral,No,4,Female
22,85,6,Low,High,Medium,0,Yes,No,Positive,No,4,Male
20,98,4,Medium,Medium,High,2,Yes,Yes,Positive,No,1,Male
14,100,7,Low,Medium,Low,1,Yes,No,Neutral,No,3,Female
27,75,10,Medium,Low,Medium,3,No,No,Positive,No,6,Female
34,84,6,Medium,Medium,High,1,Yes,Yes,Neutral,No,3,Male
21,94,7,Medium,Medium,Medium,1,Yes,Yes,Positive,No,5,Female
15,65,5,Medium,Low,High,0,Yes,Yes,Neutral,No,4,Female
11,88,7,Low,High,Medium,2,Yes,Yes,Neutral,No,2,Male
22,76,7,Low,High,Low,1,Yes,Yes,Positive,No,4,Male
27,68,4,Medium,Low,High,0,Yes,No,Neutral,No,1,Female
23,76,5,Medium,Medium,Low,1,Yes,Yes,Neutral,No,3,Female
20,63,5,Medium,High,High,2,Yes,Yes,Positive,No,3,Male
16,88,5,High,Medium,High,4,Yes,Yes,Positive,No,6,Male
13,70,6,Medium,Medium,High,1,Yes,Yes,Negative,No,4,Male
25,72,8,Medium,Medium,High,2,Yes,Yes,Positive,No,2,Female
25,65,6,Medium,Low,Medium,1,Yes,No,Negative,No,4,Male
11,95,9,High,Medium,Medium,4,Yes,Yes,Positive,No,4,Male
30,80,6,High,High,High,1,Yes,No,Positive,No,3,Female
23,83,7,Medium,Medium,Low,2,No,Yes,Positive,No,4,Female
28,83,8,Medium,Medium,Low,1,Yes,No,Negative,Yes,5,Male
12,76,9,Medium,Medium,Medium,2,Yes,Yes,Negative,No,3,Male
12,68,6,Low,High,Low,5,Yes,No,Neutral,No,3,Male
19,90,8,Medium,High,High,2,Yes,No,Neutral,No,4,Male
23,65,6,Low,Low,Medium,2,Yes,Yes,Neutral,No,2,Female
31,64,10,Low,High,Medium,2,Yes,No,Negative,No,4,Female
24,88,5,Medium,Low,Medium,1,No,Yes,Positive,No,2,Male
19,68,8,High,Low,High,2,Yes,Yes,Neutral,No,3,Male
14,72,9,Medium,Medium,High,4,Yes,No,Negative,No,3,Male
27,79,5,High,Medium,Low,2,Yes,Yes,Neutral,No,1,Female
14,78,8,Medium,Medium,High,2,Yes,Yes,Negative,No,4,Male
30,88,6,High,Medium,Medium,4,Yes,Yes,Positive,No,5,Female
18,85,10,Medium,Low,Medium,1,Yes,Yes,Positive,No,3,Female
30,86,4,High,Medium,High,2,Yes,No,Neutral,Yes,5,Male
24,89,5,Medium,Medium,Medium,3,No,Yes,Neutral,No,0,Female
19,72,5,High,Medium,Medium,1,Yes,Yes,Neutral,No,4,Female
17,73,5,High,Low,Medium,3,Yes,Yes,Positive,No,1,Female
18,78,8,Medium,Low,Low,2,Yes,Yes,Neutral,No,4,Female
23,72,10,Low,High,Low,2,Yes,Yes,Negative,No,2,Male
20,99,9,High,High,Low,2,Yes,Yes,Neutral,No,5,Male
16,93,7,Medium,Low,Medium,1,Yes,Yes,Positive,No,1,Female
19,67,7,High,Medium,Low,1,Yes,No,Neutral,No,4,Female
20,60,6,Medium,Medium,Medium,2,Yes,Yes,Neutral,Yes,3,Female
7,62,8,Low,High,Medium,0,Yes,Yes,Positive,No,3,Male
23,70,7,Low,Medium,High,3,Yes,No,Neutral,No,3,Female
14,65,7,Medium,High,Medium,2,Yes,No,Neutral,No,3,Male
13,81,6,Low,Medium,High,2,Yes,No,Positive,No,4,Male
10,94,5,Medium,High,Low,1,Yes,No,Positive,No,3,Male
9,89,7,Medium,Low,High,1,Yes,Yes,Neutral,No,3,Male
12,69,7,Medium,High,Low,1,Yes,No,Positive,No,4,Male
16,76,6,High,Medium,High,0,Yes,Yes,Positive,No,1,Female
32,80,6,Low,High,Medium,0,Yes,No,Neutral,No,5,Male
17,92,8,Medium,Medium,Medium,1,Yes,Yes,Positive,No,3,Male
21,94,8,Medium,Medium,Medium,1,Yes,No,Positive,No,3,Male
22,96,10,High,High,Low,2,Yes,No,Neutral,Yes,3,Male
21,80,9,Low,High,High,1,Yes,Yes,Negative,No,3,Female
20,88,5,Medium,Medium,High,2,No,Yes,Neutral,No,5,Male
13,64,7,High,Medium,Low,0,Yes,Yes,Positive,No,4,Male
29,83,5,Medium,High,High,0,Yes,No,Neutral,No,4,Female
31,70,4,High,High,Low,1,Yes,Yes,Neutral,Yes,2,Female
10,77,10,High,Low,High,1,Yes,Yes,Negative,Yes,3,Female
14,85,9,High,Medium,High,0,Yes,No,Negative,No,3,Female
18,70,6,Medium,High,Low,1,Yes,No,Positive,No,2,Female
14,62,9,Medium,Medium,Medium,1,Yes,No,Neutral,No,6,Male
23,60,9,Low,High,Medium,0,No,Yes,Negative,No,4,Female
16,61,4,Low,High,Medium,1,Yes,No,Neutral,No,2,Female
33,60,8,Low,High,High,4,Yes,No,Negative,No,3,Male
27,64,6,Low,High,Medium,0,Yes,Yes,Neutral,No,5,Female
21,70,8,Low,High,High,3,Yes,Yes,Neutral,No,1,Female
26,69,10,Low,High,Low,2,Yes,No,Positive,No,2,Male
27,99,9,Low,High,Medium,0,Yes,No,Positive,No,2,Male
17,72,7,Low,Low,Medium,4,Yes,No,Positive,No,2,Female
15,65,9,Low,Medium,High,2,Yes,Yes,Neutral,No,3,Male
20,82,4,Medium,Medium,Low,2,Yes,Yes,Neutral,No,3,Male
25,94,8,High,High,High,6,Yes,No,Negative,Yes,3,Female
21,87,8,High,Medium,Medium,1,Yes,Yes,Positive,No,2,Male
11,72,8,High,Low,Medium,1,Yes,No,Positive,No,2,Male
15,82,6,Medium,Medium,Medium,1,Yes,Yes,Positive,No,2,Female
20,89,8,Low,High,High,2,Yes,Yes,Negative,No,3,Female
20,89,8,Medium,High,Medium,1,Yes,Yes,Negative,No,1,Male
32,87,4,Medium,High,Medium,2,Yes,Yes,Neutral,No,2,Female
12,95,7,Medium,Medium,Medium,4,Yes,No,Positive,No,3,Male
23,95,6,High,Medium,Medium,2,Yes,Yes,Neutral,No,3,Male
29,83,8,Low,Medium,Low,4,Yes,No,Negative,No,5,Male
34,77,9,Medium,Medium,High,0,Yes,No,Neutral,No,4,Female
18,86,6,Medium,Medium,Medium,2,Yes,Yes,Neutral,No,2,Male
23,93,5,High,Medium,High,2,Yes,No,Negative,No,1,Male
23,60,7,Low,Low,Medium,3,Yes,No,Neutral,No,2,Female
21,100,5,Low,Medium,Medium,3,Yes,No,Positive,Yes,3,Male
19,67,7,Medium,Medium,Medium,1,Yes,No,Neutral,No,3,Female
23,79,7,High,Low,Medium,1,Yes,Yes,Positive,No,3,Male
5,95,8,Low,Medium,High,1,Yes,Yes,Neutral,No,2,Female
24,69,7,Medium,Medium,High,2,Yes,Yes,Negative,No,4,Male
21,79,7,Low,Medium,Low,2,Yes,Yes,Neutral,No,4,Male
19,65,9,Low,Medium,High,1,Yes,Yes,Neutral,No,3,Male
32,76,7,Medium,Medium,Medium,0,Yes,No,Positive,No,3,Female
16,67,6,Medium,High,High,1,Yes,Yes,Positive,No,3,Female
18,75,7,High,Medium,Medium,1,Yes,Yes,Positive,No,4,Male
32,75,6,Medium,Medium,Low,3,Yes,Yes,Neutral,No,2,Female
15,100,5,Medium,High,Medium,2,Yes,Yes,Neutral,No,3,Male
17,100,5,Low,Medium,Medium,3,Yes,No,Neutral,No,3,Female
19,65,9,Low,Low,High,3,Yes,No,Negative,No,4,Female
25,89,6,Medium,Medium,Low,2,Yes,Yes,Neutral,No,2,Female
21,62,7,Low,Medium,Low,0,Yes,Yes,Positive,No,4,Female
12,61,7,Low,Medium,Low,2,Yes,Yes,Positive,No,2,Female
17,64,7,Medium,Low,Medium,5,Yes,No,Neutral,No,3,Male
16,99,9,High,High,Medium,4,No,No,Positive,No,3,Female
20,98,7,Low,Low,Medium,1,No,Yes,Positive,No,3,Female
23,68,6,Medium,High,Medium,1,Yes,No,Neutral,No,3,Female
23,66,6,Low,High,Low,2,Yes,No,Positive,No,1,Male
9,70,8,Low,High,Medium,1,Yes,Yes,Positive,No,3,Male
26,81,8,High,High,Low,2,Yes,No,Positive,No,5,Female
22,83,8,Medium,Low,High,0,No,Yes,Negative,No,2,Female
28,69,7,Low,High,High,2,Yes,No,Neutral,No,2,Male
23,90,5,High,Medium,High,1,No,Yes,Neutral,No,3,Male
27,72,8,Medium,High,High,3,Yes,Yes,Neutral,No,3,Female
23,97,7,Medium,Medium,High,3,No,No,Negative,No,1,Male
28,86,7,Medium,Medium,Medium,0,Yes,Yes,Positive,No,5,Male
23,77,5,Low,High,Medium,0,Yes,No,Positive,Yes,3,Male
19,92,6,Medium,Low,High,2,Yes,Yes,Neutral,No,2,Female
